Tactic ,Technique,Procedure,Indicator
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,https://www.yerli-media[.]org
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,lurermedia[.]org
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,sakartvelo-today[.]org
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,76 accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,30 Pages
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,11 accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,https://www[.]youtube.com/@Agora_Expert
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.6 Acquiring TikTok accounts,https://www[.]tiktok.com/@agora_experts_club
,,,
1. Disguising assets,1.3 Posing as non-existent institution,1.3.1 Creating fictitious news outlet ,"yerli-media
luremedia
sakartvelo-today

"
,,,
2. Gathering information,2.2 Monitoring specific events,"2.2.1 Monitoring breaking news
","In Georgia, they posted about current events, including the most recent protests against the “foreign agent law” "
2. Gathering information,2.2 Monitoring specific events,"2.2.1 Monitoring breaking news
","In Armenia, they posted about the former Armenian official currently detained in Azerbaijan."
,,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"About $77,000 in spending for ads on Facebook, paid for mostly in US dollars."
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,"About 3,800 accounts followed one or more of these Pages"
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.4 Acquiring Instagram followers,"About 1,850 accounts followed one or more of these Instagram accounts."
,,,
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions," In Georgia, they criticized protesters and supported the ruling party, Georgian Dream"
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions,"In Azerbaijan, the operation criticized the West. "
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.2 Posting positive content about named individuals institutions,"In Armenia, they posted about politics, including supportive commentary about Russia, the former Armenian official currently detained in Azerbaijan, and criticism of the Prime Minister of Armenia."
